utc,session,claims,documents,sources,seconds
2026-09-03T10:05:30Z,1,57,7,1,158
2026-09-03T10:07:38Z,2,72,8,2,128
2026-09-03T10:10:55Z,3,85,11,3,197
2026-09-03T10:13:01Z,4,99,13,4,126
2026-09-03T10:15:06Z,5,106,14,5,125
2026-09-03T10:18:32Z,6,129,16,6,206
2026-09-03T10:20:56Z,7,132,16,7,126
2026-09-03T10:23:47Z,8,143,17,8,170
2026-09-03T10:26:03Z,9,148,17,9,136
2026-09-03T10:27:33Z,10,152,18,10,90
2026-09-03T10:29:11Z,11,165,19,11,98
2026-09-03T10:31:01Z,12,172,20,12,110
2026-09-03T10:33:11Z,13,177,22,13,130
2026-09-03T10:35:52Z,14,195,23,14,161
2026-09-03T10:37:57Z,15,199,23,15,125
2026-09-03T10:40:39Z,16,211,25,16,162
2026-09-03T10:43:53Z,17,231,27,17,175
2026-09-03T10:45:30Z,18,234,28,18,97
2026-09-03T10:48:02Z,19,242,29,19,152
2026-09-03T10:49:57Z,20,249,29,20,115
2026-09-03T10:51:53Z,21,258,31,21,116
2026-09-03T10:53:49Z,22,272,32,22,116
2026-09-03T10:56:03Z,23,283,33,23,134
2026-09-03T10:59:14Z,24,300,35,24,191
2026-09-03T11:02:16Z,25,321,37,25,161
2026-09-03T11:04:05Z,26,328,38,26,109
2026-09-03T11:06:05Z,27,334,39,27,120
2026-09-03T11:08:31Z,28,345,40,28,146
2026-09-03T11:10:29Z,29,341,41,29,118
2026-09-03T11:13:11Z,30,364,43,30,162
2026-09-03T11:15:55Z,31,383,46,31,164
