utc,session,claims,documents,sources,seconds
2026-08-06T09:38:06Z,1,25,8,1,131
2026-08-06T09:40:08Z,2,39,9,2,122
2026-08-06T09:42:44Z,3,55,10,3,156
2026-08-06T09:45:56Z,4,64,10,4,192
2026-08-06T09:50:00Z,5,80,10,5,192
2026-08-06T09:52:21Z,6,94,11,6,141
2026-08-06T09:54:22Z,7,104,11,7,121
2026-08-06T09:56:28Z,8,119,12,8,126
2026-08-06T09:59:04Z,9,131,12,9,114
2026-08-06T10:01:32Z,10,144,12,10,147
2026-08-06T10:03:30Z,11,153,13,11,118
2026-08-06T10:05:36Z,12,163,14,12,126
2026-08-06T10:07:42Z,13,179,15,13,126
2026-08-06T10:10:31Z,14,191,15,14,126
2026-08-06T10:12:38Z,15,200,15,15,127
2026-08-06T10:14:46Z,16,213,15,16,128
2026-08-06T10:16:56Z,17,227,16,17,130
2026-08-06T10:18:30Z,18,242,16,18,94
2026-08-06T10:20:20Z,19,252,16,19,82
