utc,session,claims,documents,sources,seconds
2026-08-06T10:47:17Z,1,14,11,1,132
2026-08-06T10:49:55Z,2,33,19,2,158
2026-08-06T10:51:38Z,3,46,22,3,103
2026-08-06T10:53:34Z,4,69,27,4,116
2026-08-06T10:57:06Z,5,79,28,5,165
2026-08-06T11:00:30Z,6,93,30,6,204
2026-08-06T11:04:52Z,7,102,30,7,262
2026-08-06T11:07:19Z,8,117,33,8,147
2026-08-06T11:09:12Z,9,123,33,9,113
2026-08-06T11:11:54Z,10,138,34,10,131
2026-08-06T11:14:45Z,11,152,34,11,171
2026-08-06T11:16:54Z,12,162,35,12,129
2026-08-06T11:19:07Z,13,178,37,13,133
2026-08-06T11:21:52Z,14,193,37,14,123
2026-08-06T11:24:03Z,15,214,41,15,131
2026-08-06T11:25:47Z,16,224,43,16,104
2026-08-06T11:28:13Z,17,237,45,17,146
2026-08-06T11:31:31Z,18,245,45,18,148
2026-08-06T11:34:26Z,19,264,48,19,175
2026-08-06T11:37:05Z,20,277,49,20,159
2026-08-06T11:39:03Z,21,284,49,21,118
2026-08-06T11:41:44Z,22,303,51,22,161
2026-08-06T11:45:31Z,23,323,53,23,169
2026-08-06T11:47:32Z,24,338,56,24,121
2026-08-06T11:49:46Z,25,354,57,25,134
2026-08-06T11:51:14Z,26,364,57,26,88
2026-08-06T11:53:26Z,27,381,58,27,108
2026-08-06T11:54:45Z,28,398,58,28,79
2026-08-06T11:56:07Z,29,414,60,29,82
2026-08-06T11:57:45Z,30,430,60,30,98
