utc,session,claims,documents,sources,seconds
2026-08-06T10:52:52Z,1,15,8,1,163
2026-08-06T10:54:51Z,2,21,10,2,119
2026-08-06T10:57:36Z,3,33,12,3,165
2026-08-06T11:01:18Z,4,47,15,4,222
2026-08-06T11:04:13Z,5,57,15,5,175
2026-08-06T11:07:12Z,6,76,16,6,117
2026-08-06T11:09:32Z,7,86,16,7,140
2026-08-06T11:11:21Z,8,102,18,8,109
2026-08-06T11:13:16Z,9,117,20,9,115
2026-08-06T11:16:24Z,10,130,21,10,140
2026-08-06T11:18:20Z,11,143,21,11,116
2026-08-06T11:20:41Z,12,156,22,12,141
2026-08-06T11:22:55Z,13,170,24,13,134
2026-08-06T11:25:42Z,14,181,24,14,120
2026-08-06T11:28:19Z,15,198,25,15,157
2026-08-06T11:31:08Z,16,209,26,16,169
2026-08-06T11:34:03Z,17,216,27,17,175
2026-08-06T11:36:18Z,18,226,27,18,135
2026-08-06T11:40:35Z,19,237,28,19,183
2026-08-06T11:43:17Z,20,254,30,20,162
2026-08-06T11:45:07Z,21,263,31,21,110
2026-08-06T11:46:47Z,22,269,31,22,100
2026-08-06T11:48:28Z,23,286,32,23,101
2026-08-06T11:50:10Z,24,296,32,24,73
2026-08-06T11:51:43Z,25,304,32,25,93
2026-08-06T11:53:18Z,26,316,32,26,95
2026-08-06T11:55:12Z,27,325,33,27,114
2026-08-06T11:57:22Z,28,352,35,28,130
2026-08-06T11:59:45Z,29,363,36,29,117
2026-08-06T12:01:31Z,30,374,37,30,106
