utc,session,claims,documents,sources,seconds
2026-08-06T09:38:14Z,1,12,7,1,139
2026-08-06T09:40:44Z,2,22,8,2,150
2026-08-06T09:43:24Z,3,29,10,3,160
2026-08-06T09:45:56Z,4,36,10,4,152
2026-08-06T09:49:52Z,5,49,11,5,236
2026-08-06T09:52:17Z,6,60,11,6,145
2026-08-06T09:54:53Z,7,68,12,7,112
2026-08-06T09:57:03Z,8,78,12,8,130
2026-08-06T09:59:08Z,9,88,12,9,125
2026-08-06T10:01:46Z,10,104,15,10,158
2026-08-06T10:03:54Z,11,108,16,11,128
2026-08-06T10:06:33Z,12,119,17,12,159
2026-08-06T10:09:56Z,13,128,18,13,149
2026-08-06T10:12:12Z,14,143,19,14,136
2026-08-06T10:14:18Z,15,163,22,15,126
2026-08-06T10:15:51Z,16,177,23,16,93
2026-08-06T10:17:56Z,17,190,25,17,95
2026-08-06T10:19:35Z,18,199,26,18,99
2026-08-06T10:21:18Z,19,218,28,19,103
2026-08-06T10:23:49Z,20,232,29,20,151
2026-08-06T10:25:57Z,21,246,29,21,99
2026-08-06T10:27:56Z,22,263,31,22,119
2026-08-06T10:29:48Z,23,277,34,23,112
2026-08-06T10:32:08Z,24,293,35,24,140
2026-08-06T10:37:36Z,25,299,35,25,281
2026-08-06T10:39:53Z,26,312,36,26,137
2026-08-06T10:41:47Z,27,329,38,27,114
2026-08-06T10:44:34Z,28,355,39,28,167
2026-08-06T10:47:23Z,29,366,39,29,115
