utc,session,claims,documents,sources,seconds
2026-09-03T08:57:48Z,1,21,9,1,108
2026-09-03T08:59:56Z,2,44,10,2,128
2026-09-03T09:02:06Z,3,52,10,3,130
2026-09-03T09:04:21Z,4,70,11,4,135
2026-09-03T09:06:49Z,5,84,12,5,148
2026-09-03T09:09:30Z,6,101,13,6,161
2026-09-03T09:12:19Z,7,108,13,7,149
2026-09-03T09:14:55Z,8,126,14,8,156
2026-09-03T09:17:00Z,9,133,14,9,125
2026-09-03T09:20:02Z,10,153,15,10,182
2026-09-03T09:22:31Z,11,163,15,11,149
2026-09-03T09:25:24Z,12,182,16,12,173
2026-09-03T09:28:11Z,13,190,17,13,146
2026-09-03T09:30:50Z,14,205,18,14,159
2026-09-03T09:33:19Z,15,238,18,15,149
2026-09-03T09:35:31Z,16,245,18,16,132
2026-09-03T09:37:07Z,17,250,18,17,96
2026-09-03T09:40:15Z,18,265,19,18,188
2026-09-03T09:42:39Z,19,280,20,19,125
2026-09-03T09:45:30Z,20,310,22,20,171
2026-09-03T09:46:45Z,21,313,22,21,75
2026-09-03T09:48:22Z,22,321,23,22,97
2026-09-03T09:50:42Z,23,329,23,23,140
2026-09-03T09:53:12Z,24,350,24,24,150
2026-09-03T09:55:39Z,25,359,24,25,128
2026-09-03T09:58:00Z,26,371,24,26,141
2026-09-03T10:00:51Z,27,384,25,27,171
2026-09-03T10:03:07Z,28,391,26,28,136
