utc,session,claims,documents,sources,seconds
2026-09-03T07:40:44Z,1,8,8,1,110
2026-09-03T07:42:29Z,2,16,8,2,105
2026-09-03T07:44:40Z,3,32,10,3,131
2026-09-03T07:47:29Z,4,53,11,4,169
2026-09-03T07:49:29Z,5,72,12,5,119
2026-09-03T07:52:15Z,6,95,15,6,166
2026-09-03T07:54:36Z,7,107,19,7,122
2026-09-03T07:57:19Z,8,124,23,8,163
2026-09-03T07:59:02Z,9,131,24,9,103
2026-09-03T08:01:23Z,10,148,25,10,141
2026-09-03T08:04:08Z,11,163,27,11,164
2026-09-03T08:06:41Z,12,169,29,12,153
2026-09-03T08:08:40Z,13,179,31,13,119
2026-09-03T08:11:09Z,14,189,32,14,130
2026-09-03T08:13:13Z,15,199,34,15,124
2026-09-03T08:15:37Z,16,211,35,16,144
2026-09-03T08:18:00Z,17,225,39,17,143
2026-09-03T08:21:02Z,18,243,40,18,182
2026-09-03T08:23:38Z,19,254,46,19,156
2026-09-03T08:25:12Z,20,262,47,20,94
2026-09-03T08:28:39Z,21,273,49,21,188
2026-09-03T08:31:22Z,22,286,51,22,163
2026-09-03T08:32:58Z,23,293,52,23,96
2026-09-03T08:35:46Z,24,304,53,24,168
2026-09-03T08:38:26Z,25,320,55,25,160
2026-09-03T08:40:33Z,26,337,57,26,127
2026-09-03T08:43:23Z,27,343,58,27,170
2026-09-03T08:47:00Z,28,358,60,28,195
2026-09-03T08:49:04Z,29,366,61,29,124
2026-09-03T08:50:44Z,30,375,63,30,100
2026-09-03T08:53:15Z,31,393,65,31,151
2026-09-03T08:55:25Z,32,405,66,32,130
